# q[1/nm]	S(q)
4.302799999999999681e-02 7.141660799854653019e-02
4.355000000000000537e-02 8.215321009361782612e-02
4.407099999999999906e-02 9.579771304534415166e-02
4.459099999999999869e-02 1.102024655632570516e-01
4.511099999999999832e-02 1.233859005120002128e-01
4.563399999999999401e-02 1.435047757154599424e-01
4.615799999999999764e-02 1.615398547990279654e-01
4.668100000000000027e-02 1.844128051709831018e-01
4.720200000000000090e-02 2.099309254814727965e-01
4.772099999999999953e-02 2.409690329063935155e-01
4.824400000000000216e-02 2.805379555456312679e-01
4.876799999999999885e-02 3.392559525272736964e-01
4.928899999999999948e-02 4.047352818805907693e-01
4.981000000000000011e-02 4.804006872700838371e-01
5.032999999999999974e-02 5.703126824370081671e-01
5.085100000000000731e-02 6.771391741396513009e-01
5.137599999999999806e-02 8.084286137928763383e-01
5.189699999999999869e-02 9.727960104088488880e-01
5.241599999999999732e-02 1.137204487529242858e+00
5.293400000000000188e-02 1.312927556569023047e+00
5.345300000000000051e-02 1.515506517849535495e+00
5.397899999999999920e-02 1.759032549208924712e+00
5.450400000000000383e-02 1.995558844575222146e+00
5.502499999999999752e-02 2.200480001513802186e+00
5.554599999999999815e-02 2.403738526975598422e+00
5.606599999999999778e-02 2.545927186482466187e+00
5.658799999999999941e-02 2.691396211923943405e+00
5.711199999999999610e-02 2.795227247827688721e+00
5.763400000000000467e-02 2.762394941784254154e+00
5.815500000000000530e-02 2.710067147808905119e+00
5.867699999999999999e-02 2.665962156893111334e+00
5.919899999999999468e-02 2.586792756523242254e+00
5.972200000000000425e-02 2.506821875190099913e+00
6.024399999999999894e-02 2.320701978272100785e+00
6.076700000000000157e-02 2.101955635987049487e+00
6.128700000000000120e-02 1.961573231683441776e+00
6.180899999999999589e-02 1.826161040414283621e+00
6.233400000000000052e-02 1.647194698554215186e+00
6.285699999999999621e-02 1.452484582565883198e+00
6.337800000000000378e-02 1.308061700284294693e+00
6.389799999999999647e-02 1.200439725960837478e+00
6.442000000000000504e-02 1.124717694756605102e+00
6.494500000000000273e-02 1.090484082041999425e+00
6.546599999999999642e-02 1.032153211533561432e+00
6.598700000000000399e-02 9.491990045882259253e-01
6.651100000000000068e-02 8.924042830474444576e-01
6.703200000000000824e-02 8.552772799656549463e-01
6.755200000000000093e-02 8.126496799837698015e-01
6.807499999999999662e-02 8.027735631798990079e-01
6.859800000000000619e-02 8.028208979892726971e-01
6.911899999999999988e-02 8.117859290438965703e-01
6.963900000000000645e-02 8.152605340869397699e-01
7.016300000000000314e-02 8.596806077917291677e-01
7.068599999999999883e-02 8.570910300208602894e-01
7.120799999999999352e-02 8.715117850785245590e-01
7.173000000000000209e-02 8.779927501900594011e-01
7.224800000000000666e-02 8.890453829542896980e-01
7.277000000000000135e-02 8.865210474605863533e-01
7.329399999999999804e-02 8.760779273993778427e-01
7.381899999999999573e-02 8.757568508790186668e-01
7.434100000000000430e-02 8.650553384919458244e-01
7.486099999999999699e-02 8.433758116354638235e-01
7.538100000000000356e-02 8.176719681626987146e-01
7.590299999999999825e-02 7.853522670197706779e-01
7.642600000000000782e-02 7.636480021050446876e-01
7.694800000000000251e-02 7.274056734793683532e-01
7.747000000000001108e-02 7.156415379930696208e-01
7.799100000000000477e-02 6.898004180923754669e-01
7.851299999999999946e-02 6.751480096595776637e-01
7.903599999999999515e-02 6.464297580406660471e-01
7.955699999999998884e-02 6.421218925228434626e-01
8.007699999999999541e-02 6.309248933175847229e-01
8.059700000000000197e-02 6.396755263539447567e-01
8.111999999999999766e-02 6.324594585609324415e-01
8.164299999999999335e-02 6.305598767576383601e-01
8.216500000000000192e-02 6.407161892202689613e-01
8.268799999999999761e-02 6.493417177983150657e-01
8.320800000000000418e-02 6.602823487096483035e-01
8.372900000000001175e-02 6.565848709656963988e-01
8.425200000000000744e-02 6.626819415697163818e-01
8.477399999999998825e-02 6.791255425587489070e-01
8.529399999999999482e-02 6.913529159765557930e-01
8.581699999999999051e-02 7.109112797315043641e-01
8.633899999999999908e-02 7.222987134331956272e-01
8.686199999999999477e-02 7.415881924915703749e-01
8.738499999999999046e-02 7.717461373702926286e-01
8.790499999999999703e-02 7.901032806860754931e-01
8.842600000000000460e-02 8.220648629199361901e-01
8.894600000000001117e-02 8.752048921951833815e-01
8.946799999999999198e-02 8.789406696690815757e-01
8.999000000000000055e-02 9.000123398029155064e-01
9.051299999999999624e-02 9.305193555722705012e-01
9.103500000000000481e-02 9.482886063620710182e-01
9.155399999999999650e-02 9.792392189476236686e-01
9.207399999999998919e-02 1.020846663323360826e+00
9.259599999999999775e-02 1.076254701076384324e+00
9.311899999999999344e-02 1.108869221843121533e+00
9.364100000000000201e-02 1.141859717418883813e+00
9.416199999999999570e-02 1.183508315281950773e+00
9.468300000000000327e-02 1.206741889241647270e+00
9.520699999999999996e-02 1.245354313946371860e+00
9.572900000000000853e-02 1.265782517137864494e+00
9.625200000000000422e-02 1.300142357144152383e+00
9.677199999999999691e-02 1.310900746578640419e+00
9.729399999999999160e-02 1.336421005499041303e+00
9.781700000000001505e-02 1.375468298003509116e+00
9.834000000000001074e-02 1.398430520342870853e+00
9.886300000000000643e-02 1.409080566311498695e+00
9.938400000000000012e-02 1.422105158312951589e+00
9.990499999999999381e-02 1.452416139569443931e+00
