# q[1/nm]	S(q)
1.150400000000000034e-01 1.349936108688236436e+00
1.155599999999999961e-01 1.294361375098497469e+00
1.160800000000000026e-01 1.299656551591543918e+00
1.166099999999999914e-01 1.299707854562447640e+00
1.171299999999999980e-01 1.297316313086112727e+00
1.176499999999999907e-01 1.257910285245609217e+00
1.181699999999999973e-01 1.223919642823388942e+00
1.187000000000000000e-01 1.209880839063882441e+00
1.192200000000000065e-01 1.214539279759609958e+00
1.197399999999999992e-01 1.194078211780598142e+00
1.202600000000000058e-01 1.155020252819126236e+00
1.207799999999999985e-01 1.113176348678979632e+00
1.213000000000000050e-01 1.100793708821784955e+00
1.218199999999999977e-01 1.094933487301430697e+00
1.223499999999999865e-01 1.052430385492945986e+00
1.228699999999999931e-01 9.989681682341899904e-01
1.233899999999999997e-01 1.011763441458928270e+00
1.239099999999999924e-01 9.739706193093660147e-01
1.244299999999999851e-01 9.702048058627804616e-01
1.249499999999999916e-01 9.765587483631883448e-01
1.254800000000000082e-01 9.190617295885730176e-01
1.260000000000000009e-01 8.864771112454703506e-01
1.265199999999999936e-01 8.961770187969947399e-01
1.270399999999999863e-01 1.063193875697317381e+00
1.275600000000000067e-01 8.453321473588552015e-01
1.280899999999999817e-01 8.441802599631355042e-01
1.286100000000000021e-01 8.501746203899438470e-01
1.291300000000000225e-01 8.297909999100513412e-01
1.296500000000000152e-01 8.010025317297715386e-01
1.301700000000000079e-01 8.398537697341714736e-01
1.306900000000000006e-01 7.981784565919903818e-01
1.312200000000000033e-01 8.114204243108231740e-01
1.317399999999999960e-01 8.301869664242218505e-01
1.322599999999999887e-01 8.089447348790353987e-01
1.327800000000000091e-01 7.753977053795404473e-01
1.333000000000000018e-01 7.556309636251761219e-01
1.338199999999999945e-01 7.728371711675618982e-01
1.343399999999999872e-01 7.730234499782199231e-01
1.348700000000000176e-01 7.714534879607160001e-01
1.353900000000000103e-01 7.591024741750377336e-01
1.359100000000000030e-01 7.616938584868552242e-01
1.364299999999999957e-01 7.724264043274775560e-01
1.369500000000000162e-01 7.959323147215722205e-01
1.374799999999999911e-01 7.911900093735046990e-01
1.380000000000000115e-01 7.966190267101218581e-01
1.385200000000000042e-01 7.836508795484957712e-01
1.390399999999999969e-01 7.558844071418765465e-01
1.395599999999999896e-01 7.784841923419308918e-01
1.400899999999999923e-01 7.983175026062783175e-01
1.406100000000000128e-01 7.743213433574933635e-01
1.411300000000000054e-01 7.726131318803572956e-01
1.416499999999999981e-01 7.721821468970793134e-01
1.421700000000000186e-01 7.953347016212966025e-01
1.426999999999999935e-01 8.251549142727455655e-01
1.432199999999999862e-01 8.357747406958797587e-01
1.437400000000000067e-01 8.181837355196923678e-01
1.442599999999999993e-01 7.950450374096964534e-01
1.447799999999999920e-01 8.407796751240870226e-01
1.453099999999999947e-01 8.582837705788276539e-01
1.458300000000000152e-01 8.600651646540963258e-01
1.463500000000000079e-01 8.698199334412811679e-01
1.468700000000000006e-01 8.821362310617272273e-01
1.473899999999999932e-01 9.223191809444784006e-01
1.479199999999999959e-01 9.158913334813979512e-01
1.484399999999999886e-01 9.123555506304348306e-01
1.489599999999999813e-01 9.153247747486593644e-01
1.494800000000000018e-01 9.668122492509269028e-01
1.499999999999999944e-01 9.923438185338787632e-01
1.505299999999999971e-01 9.860201304922593391e-01
1.510500000000000176e-01 9.756054725232266023e-01
1.515700000000000103e-01 1.009986997373484297e+00
1.520900000000000030e-01 1.046770853372865462e+00
1.526099999999999957e-01 1.086641219616636844e+00
1.531399999999999983e-01 1.076335239506474029e+00
1.536599999999999910e-01 1.091490960555077105e+00
1.541799999999999837e-01 1.080627764609420449e+00
1.547000000000000042e-01 1.090519519809040716e+00
1.552199999999999969e-01 1.096561703487946904e+00
1.557499999999999996e-01 1.103713551638244583e+00
1.562699999999999922e-01 1.132771009059668765e+00
1.567899999999999849e-01 1.142136862219893523e+00
1.573099999999999776e-01 1.159570313419000964e+00
1.578299999999999703e-01 1.184396161163030703e+00
1.583600000000000008e-01 1.164673592632132548e+00
1.588799999999999935e-01 1.187424445488895586e+00
1.593999999999999861e-01 1.196398191709635794e+00
1.599200000000000066e-01 1.163688337267807071e+00
1.604500000000000093e-01 1.174854570150436706e+00
1.609700000000000020e-01 1.167605154720801508e+00
1.614899999999999947e-01 1.172382799713133972e+00
1.620099999999999874e-01 1.189845219112587449e+00
1.625300000000000078e-01 1.191966657681982733e+00
1.630500000000000005e-01 1.172929726622901958e+00
1.635699999999999932e-01 1.161315607341295797e+00
1.641000000000000236e-01 1.138469940691083870e+00
1.646200000000000163e-01 1.136357855164948916e+00
1.651400000000000090e-01 1.129845840737817575e+00
1.656600000000000017e-01 1.115329397496366504e+00
1.661899999999999766e-01 1.092621444330265090e+00
1.667099999999999693e-01 1.092645158240366454e+00
1.672299999999999898e-01 1.103117315662483833e+00
1.677500000000000102e-01 1.054963412198354877e+00
1.682700000000000307e-01 1.017993900076613167e+00
1.687900000000000234e-01 1.015727754682379746e+00
1.693100000000000160e-01 1.007335042889443422e+00
1.698399999999999910e-01 8.709048919510402609e-01
1.703599999999999837e-01 7.872214976147510201e-01
1.708700000000000219e-01 7.132135509190600242e-01
1.713900000000000146e-01 8.006321469075141639e-01
1.719199999999999895e-01 8.497048780834759452e-01
1.724399999999999822e-01 9.025948940849515267e-01
1.729600000000000026e-01 9.079484103257102756e-01
1.734799999999999953e-01 9.074471904964023228e-01
1.739999999999999880e-01 8.931969426625452346e-01
1.745199999999999807e-01 8.763636909317367163e-01
1.750399999999999734e-01 8.678947510090400108e-01
1.755700000000000038e-01 8.500779704222684030e-01
1.760899999999999965e-01 8.448543629632990770e-01
1.766099999999999892e-01 8.676001991019056669e-01
1.771400000000000197e-01 8.709045589386572583e-01
1.776600000000000124e-01 8.475892197983911913e-01
1.781800000000000050e-01 8.791100919472881747e-01
1.786999999999999977e-01 8.612159254615978643e-01
1.792199999999999904e-01 8.308796217717397958e-01
1.797500000000000209e-01 8.352572884429640965e-01
1.802700000000000136e-01 8.411538235258784191e-01
1.807900000000000063e-01 8.259787908652338473e-01
1.813100000000000267e-01 8.486313036548569499e-01
1.818400000000000016e-01 8.893746177024322019e-01
1.823599999999999943e-01 8.964986392919940261e-01
1.828799999999999870e-01 8.864498640891708137e-01
1.833999999999999797e-01 8.630835268555395734e-01
1.839199999999999724e-01 8.758253783489960975e-01
1.844500000000000028e-01 8.649094391374256841e-01
1.849699999999999955e-01 8.548321243362336785e-01
1.854899999999999882e-01 8.635571557793880748e-01
1.860100000000000087e-01 9.207325538058847014e-01
1.865300000000000014e-01 9.252516659982216174e-01
1.870600000000000041e-01 9.213220819095054859e-01
1.875799999999999967e-01 9.302161221194726881e-01
1.880999999999999894e-01 9.737621942708684086e-01
1.886200000000000099e-01 9.318553061294270190e-01
1.891500000000000126e-01 9.325319048188291937e-01
1.896700000000000053e-01 9.173938326766172269e-01
1.901900000000000257e-01 9.120254247910581924e-01
1.907100000000000184e-01 9.360507682016417919e-01
1.912300000000000111e-01 9.594328526098730991e-01
1.917500000000000038e-01 9.319752814509230099e-01
1.922799999999999787e-01 9.840878357997219217e-01
1.927999999999999714e-01 9.761492998421706924e-01
1.933199999999999918e-01 9.921556201149100973e-01
1.938399999999999845e-01 1.004021142611466688e+00
1.943599999999999772e-01 1.004439747015341666e+00
1.948799999999999977e-01 1.006344810954985514e+00
1.954100000000000004e-01 1.020798291171920891e+00
1.959299999999999931e-01 1.038540089169892822e+00
1.964499999999999857e-01 1.001304817212455900e+00
1.969699999999999784e-01 1.039005368954389219e+00
1.975000000000000089e-01 1.059196053944748916e+00
1.980200000000000016e-01 1.072900052117906178e+00
1.985399999999999943e-01 1.030559242215253413e+00
1.990600000000000147e-01 1.020290437985562848e+00
1.995800000000000074e-01 1.061830117827929021e+00
2.001000000000000001e-01 1.079025653420250697e+00
2.006300000000000028e-01 1.109729509674869607e+00
2.011499999999999955e-01 1.097097751012214406e+00
2.016700000000000159e-01 1.102007365025795327e+00
2.021900000000000086e-01 1.106366314278368623e+00
2.027100000000000013e-01 1.118064681942100957e+00
2.032399999999999762e-01 1.181272658728021563e+00
2.037599999999999967e-01 1.147458023886680722e+00
2.042800000000000171e-01 1.161500792909661683e+00
2.048000000000000098e-01 1.157084566237584600e+00
2.053200000000000025e-01 1.182235318679067060e+00
2.058499999999999774e-01 1.250262574236897795e+00
2.063699999999999979e-01 1.243048216985206400e+00
2.074099999999999833e-01 1.178653026124301784e+00
2.079300000000000037e-01 1.180935099208320294e+00
2.084499999999999964e-01 1.209089714338227095e+00
2.089799999999999991e-01 1.280936137353280158e+00
2.094999999999999918e-01 1.257402466543209751e+00
2.100199999999999845e-01 1.247239052816105254e+00
2.105400000000000049e-01 1.248122379460048448e+00
2.110599999999999976e-01 1.221414729560455381e+00
2.115799999999999903e-01 1.249731721938114992e+00
2.121000000000000107e-01 1.234846796341698250e+00
2.126200000000000034e-01 1.209198146235664906e+00
2.131399999999999961e-01 1.254011145101881164e+00
2.136599999999999888e-01 1.213446030501033057e+00
2.141899999999999915e-01 1.218604926760259888e+00
2.147100000000000120e-01 1.188422521445771984e+00
2.152300000000000046e-01 1.170963811144852151e+00
2.157499999999999973e-01 1.238246869126729655e+00
2.162700000000000178e-01 1.252767949402491032e+00
2.167900000000000105e-01 1.199299712496644466e+00
2.173200000000000132e-01 1.161476076706470462e+00
2.178400000000000059e-01 1.130776959383350544e+00
2.183599999999999985e-01 1.126846308264355390e+00
2.188800000000000190e-01 1.115077050999721875e+00
2.194099999999999939e-01 1.143871287315593399e+00
2.199299999999999866e-01 1.150241438259895554e+00
2.204499999999999793e-01 1.104614834127273681e+00
2.209699999999999998e-01 1.085261249560300012e+00
2.214899999999999924e-01 1.060592443023827158e+00
2.220199999999999951e-01 1.085275844218842822e+00
2.230599999999999805e-01 1.088337185802923379e+00
2.235800000000000010e-01 1.042502004811547867e+00
2.240999999999999936e-01 1.050356675125807993e+00
2.246299999999999963e-01 9.953303386812740738e-01
2.251500000000000168e-01 9.517633382613182036e-01
2.256700000000000095e-01 9.825415550000096143e-01
2.261900000000000022e-01 1.009918195297258015e+00
2.267099999999999949e-01 9.919439759055425077e-01
2.272399999999999975e-01 9.725038464076688483e-01
2.277600000000000180e-01 9.733636683206292606e-01
2.282800000000000107e-01 9.624894177591760691e-01
2.288099999999999856e-01 9.297430691427018834e-01
2.293299999999999783e-01 9.357456861588009378e-01
2.298499999999999988e-01 9.380040676064240746e-01
2.303699999999999914e-01 9.492406278516739571e-01
2.308899999999999841e-01 9.371389126487492671e-01
2.314099999999999768e-01 9.621901751062761354e-01
2.319399999999999795e-01 9.600476755092534065e-01
2.324600000000000000e-01 9.337604004375642530e-01
2.329799999999999927e-01 9.408151561075756009e-01
2.334999999999999853e-01 9.423899804313980999e-01
2.340300000000000158e-01 9.728963950925165749e-01
2.345500000000000085e-01 9.449184409298773124e-01
2.350700000000000012e-01 9.355891699184873955e-01
2.355899999999999939e-01 9.456925437284989799e-01
2.361099999999999866e-01 1.033165182675937599e+00
2.366400000000000170e-01 9.240364913615984888e-01
2.371600000000000097e-01 9.560454249296841400e-01
2.376800000000000024e-01 1.020498160457393722e+00
2.381900000000000128e-01 9.916510598078169814e-01
2.392400000000000082e-01 1.004667956085079306e+00
2.397600000000000009e-01 9.821128417749889206e-01
2.402799999999999936e-01 9.920500101922948843e-01
2.408000000000000140e-01 1.012569710074756824e+00
2.413300000000000167e-01 1.040882394590328053e+00
2.418500000000000094e-01 1.007920123961058012e+00
2.423700000000000299e-01 1.002076456854202879e+00
2.428900000000000226e-01 1.034230514367709075e+00
2.434199999999999975e-01 1.014745933593697913e+00
2.439399999999999902e-01 1.062987992590228359e+00
2.444599999999999829e-01 1.021822693964208995e+00
2.449799999999999756e-01 1.088288048705964961e+00
2.454999999999999960e-01 1.042058821235652966e+00
2.460199999999999887e-01 1.014221998529886593e+00
